时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:49:59,3319,70,927,0,0,717,1,11707,8927,2861,1508,3210,1250,1033,12505,37411,27541,10394,4636,1725,2230,2300,1725
19:50:01,1468,62,292,0,0,719,1,616,2719,2065,365,2471,1801,1226,20160,63998,57835,16507,3023,3413,1628,2902,3928
19:50:04,1533,62,297,0,0,722,1,2542,8016,2193,1703,2017,1792,464,12185,38026,20967,8610,1659,1806,977,205,1384
19:50:06,3178,70,880,0,0,724,1,158,5814,3184,3328,4044,5403,6974,26537,65535,65535,33385,7124,7435,6646,6622,9970
19:50:08,2669,70,665,0,0,726,1,4084,5903,4050,4458,4859,4015,8625,14225,54642,65531,26192,7541,3569,4475,4133,4471
19:50:10,2145,70,511,0,0,728,1,11371,7437,608,2763,2413,2013,2231,16853,55015,47906,16981,2849,4173,922,932,2382
19:50:12,1905,70,411,0,0,731,1,5008,7137,2730,1811,1039,2404,2963,14376,55971,60855,16873,5017,1287,2049,1073,3489
19:50:15,3046,70,832,0,0,733,1,2594,4110,4007,1656,3098,1308,7201,22965,65535,65535,30815,9225,3196,6997,3922,9829
19:50:17,2492,70,635,0,0,735,1,4216,5042,2249,750,1148,2398,4618,16483,65535,65535,38004,6609,6778,6738,8140,11725
19:50:19,2763,70,697,0,0,737,1,2175,5476,4072,2121,1914,3456,4047,20776,41823,24258,7132,2623,3025,1414,836,2815
19:50:21,1642,62,326,0,0,739,1,849,8136,1134,2380,1576,2682,6129,24729,65535,65535,34459,10400,6200,7700,6163,10074
